呢,ne,il,cmn-00eab2c6.mp3," il, elle, ce, cela, la"
朝,cháo,matin,cmn-01645fef.mp3," matin, le matin, les matins, matinal"
支,zhī,soutien,cmn-016a8467.mp3," soutien, support, d'appui, appui, de soutien"
酒,jiǔ,vin,cmn-0187ac5b.mp3," vin, vins, des vins, de vin, du vin"
查,chá,recherche,cmn-024bb4b2.mp3," recherche, Recherche par, fouille, chercher, perquisition"
国家,guójiā,pays,cmn-032a3e41.mp3," pays, Country, le pays, patrie, campagne"
发现,fāxiàn,découverte,cmn-03cd4a7c.mp3," découverte, de découverte, découverte de, Discovery, découvertes"
一直,yìzhí,a été,cmn-03edefb8.mp3," a été, a fait"
现在,xiànzài,maintenant,cmn-03f73677.mp3," maintenant, Aujourd'hui, actuellement, désormais"
冬天,dōngtiān,hiver,cmn-0418b8f7.mp3," hiver, hiver de, hivernal, d'hiver"
也,yě,aussi,cmn-041d3a4a.mp3," aussi, également, Egalement, De même, En outre"
自行车,zìxíngchē,vélo,cmn-043246c4.mp3," vélo, Bike, de vélos, moto, bicyclettes"
突然,tūrán,soudain,cmn-04b15123.mp3," soudain, tout à coup, soudainement, subitement, brusquement"
碰,pèng,toucher,cmn-04bc72d0.mp3," toucher, Appuyez sur, effleurer, se toucher, Appuyez"
不久,bùjiǔ,bientôt,cmn-05adcf26.mp3," bientôt, Peu, Peu de temps, Accueil"
爱人,àiren,amoureux,cmn-05ae3ce9.mp3," amoureux, bretelles, chérie"
领导,lǐngdǎo,leadership,cmn-063d8332.mp3," leadership, direction, du leadership, le leadership, de leadership"
正,zhèng,positif,cmn-065845f6.mp3," positif, Positive, positives, favorable, positifs"
每,měi,chaque,cmn-06b64b97.mp3," chaque, chacun, de chaque, chacune, Les"
座,zuò,siège,cmn-06f0bb20.mp3," siège, Assise, fauteuil, place, asseoir"
