


哎,āi,TO TRANSLATE,cmn-0004bca7.mp3,HSK niveau II
富裕,fùyù,TO TRANSLATE,cmn-000d23af.mp3,HSK niveau III
世纪,shìjì,TO TRANSLATE,cmn-000fcf7b.mp3,HSK niveau II
谱,pǔ,TO TRANSLATE,cmn-001375a8.mp3,HSK niveau IV
质,zhì,TO TRANSLATE,cmn-0014186c.mp3,HSK niveau III
舞厅,wǔtīng,TO TRANSLATE,cmn-002785a9.mp3,HSK niveau IV
劝阻,quànzǔ,TO TRANSLATE,cmn-002f3be1.mp3,HSK niveau IV
不料,bùliào,TO TRANSLATE,cmn-00347f6a.mp3,HSK niveau III
状况,zhuàngkuàng,TO TRANSLATE,cmn-00375969.mp3,HSK niveau II
古老,gǔlǎo,TO TRANSLATE,cmn-00392866.mp3,HSK niveau II
聋,lóng,TO TRANSLATE,cmn-0042aba8.mp3,HSK niveau IV
法规,fǎguī,TO TRANSLATE,cmn-0044d661.mp3,HSK niveau IV
急于,jíyú,TO TRANSLATE,cmn-004d90f0.mp3,HSK niveau IV
鼻涕,bíti,TO TRANSLATE,cmn-00580580.mp3,HSK niveau IV
悲剧,bēijù,TO TRANSLATE,cmn-00583bdd.mp3,HSK niveau IV
水利,shuǐlì,TO TRANSLATE,cmn-007193a1.mp3,HSK niveau III
面临,miànlín,TO TRANSLATE,cmn-0086f29f.mp3,HSK niveau III
坚贞不屈,jiānzhēnbùqū,TO TRANSLATE,cmn-0089122c.mp3,HSK niveau IV
加重,jiāzhòng,TO TRANSLATE,cmn-008e809a.mp3,HSK niveau IV
过问,guòwèn,TO TRANSLATE,cmn-00915016.mp3,HSK niveau IV
菌,jūn,TO TRANSLATE,cmn-00a51385.mp3,HSK niveau IV
毛线,máoxiàn,TO TRANSLATE,cmn-00b019d4.mp3,HSK niveau III
强盗,qiángdào,TO TRANSLATE,cmn-00c0f36a.mp3,HSK niveau II
各界,gèjiè,TO TRANSLATE,cmn-00e35a9f.mp3,HSK niveau IV
呢,ne,TO TRANSLATE,cmn-00eab2c6.mp3,HSK niveau I
光明,guāngmíng,TO TRANSLATE,cmn-00ebefe6.mp3,HSK niveau II
解除,jiěchú,TO TRANSLATE,cmn-010770ac.mp3,HSK niveau IV
尽力,jìnlì,TO TRANSLATE,cmn-010c9d87.mp3,HSK niveau III
长寿,chángshòu,TO TRANSLATE,cmn-01160135.mp3,HSK niveau IV
周折,zhōuzhé,TO TRANSLATE,cmn-0125d37d.mp3,HSK niveau IV
假,jiǎ,TO TRANSLATE,cmn-012c74d0.mp3,HSK niveau II
助手,zhùshǒu,TO TRANSLATE,cmn-013a0096.mp3,HSK niveau III
眼下,yǎnxià,TO TRANSLATE,cmn-014cb7ce.mp3,HSK niveau IV
劝说,quànshuō,TO TRANSLATE,cmn-0155ec73.mp3,HSK niveau IV
旋转,xuánzhuǎn,TO TRANSLATE,cmn-015b2d28.mp3,HSK niveau III
跑道,pǎodào,TO TRANSLATE,cmn-0163ea52.mp3,HSK niveau IV
朝,cháo,TO TRANSLATE,cmn-01645fef.mp3,HSK niveau I
支,zhī,TO TRANSLATE,cmn-016a8467.mp3,HSK niveau I
肿瘤,zhǒngliú,TO TRANSLATE,cmn-016c24b4.mp3,HSK niveau IV
焊,hàn,TO TRANSLATE,cmn-016e2846.mp3,HSK niveau III
特此,tècǐ,TO TRANSLATE,cmn-0172502d.mp3,HSK niveau II
尽,jìn,TO TRANSLATE,cmn-017daad0.mp3,HSK niveau II
当时,dāngshí,TO TRANSLATE,cmn-01840f0b.mp3,HSK niveau II
酒,jiǔ,TO TRANSLATE,cmn-0187ac5b.mp3,HSK niveau I
地质,dìzhì,TO TRANSLATE,cmn-019a6e67.mp3,HSK niveau III
共青团,Gòngqīngtuán,TO TRANSLATE,cmn-01a11c3a.mp3,HSK niveau III
会同,huìtóng,TO TRANSLATE,cmn-01bb4bb8.mp3,HSK niveau IV
业务,yèwù,TO TRANSLATE,cmn-01c94bd6.mp3,HSK niveau II
航线,hángxiàn,TO TRANSLATE,cmn-01cc1474.mp3,HSK niveau IV
星星,xīngxing,TO TRANSLATE,cmn-01cde6ca.mp3,HSK niveau II
参阅,cānyuè,TO TRANSLATE,cmn-01d4eef3.mp3,HSK niveau IV
绷,bēng,TO TRANSLATE,cmn-01d84e6b.mp3,HSK niveau IV
稍微,shāowēi,TO TRANSLATE,cmn-01e62fba.mp3,HSK niveau II
就近,jiùjìn,TO TRANSLATE,cmn-01e69ac4.mp3,HSK niveau IV
老成,lǎochéng,TO TRANSLATE,cmn-01ec7495.mp3,HSK niveau IV
通讯社,tōngxùnshè,TO TRANSLATE,cmn-02081fbe.mp3,HSK niveau IV
血,xiě,TO TRANSLATE,cmn-02145682.mp3,HSK niveau II
总和,zǒnghé,TO TRANSLATE,cmn-021a15ed.mp3,HSK niveau IV
乘机,chéngjī,TO TRANSLATE,cmn-021b688f.mp3,HSK niveau IV
涉外,shèwài,TO TRANSLATE,cmn-022700ee.mp3,HSK niveau IV
局势,júshì,TO TRANSLATE,cmn-022e709a.mp3,HSK niveau IV
诗人,shīrén,TO TRANSLATE,cmn-02408dca.mp3,HSK niveau III
停止,tíngzhǐ,TO TRANSLATE,cmn-024540de.mp3,HSK niveau II
烫,tàng,TO TRANSLATE,cmn-0246aedf.mp3,HSK niveau II
感觉,gǎnjué,TO TRANSLATE,cmn-02492e2e.mp3,HSK niveau II
查,chá,TO TRANSLATE,cmn-024bb4b2.mp3,HSK niveau I
打架,dǎjià,TO TRANSLATE,cmn-0273d8aa.mp3,HSK niveau III
会员,huìyuán,TO TRANSLATE,cmn-027aae84.mp3,HSK niveau IV
老人家,lǎorenjia,TO TRANSLATE,cmn-027f218b.mp3,HSK niveau III
递增,dìzēng,TO TRANSLATE,cmn-02890037.mp3,HSK niveau IV
高速,gāosù,TO TRANSLATE,cmn-028a7194.mp3,HSK niveau III
雹子,báozi,TO TRANSLATE,cmn-02aabf53.mp3,HSK niveau IV
牵,qiān,TO TRANSLATE,cmn-02a67b36.mp3,HSK niveau II
前年,qiánnián,TO TRANSLATE,cmn-02ace7b8.mp3,HSK niveau II
植物,zhíwù,TO TRANSLATE,cmn-02adf0e7.mp3,HSK niveau II
律师,lǜshī,TO TRANSLATE,cmn-02b29134.mp3,HSK niveau IV
快速,kuàisù,TO TRANSLATE,cmn-02b6d7e2.mp3,HSK niveau IV
青蛙,qīngwā,TO TRANSLATE,cmn-02c1d84e.mp3,HSK niveau III
鲜艳,xiānyàn,TO TRANSLATE,cmn-02c0aead.mp3,HSK niveau III
只有,zhǐyǒu,TO TRANSLATE,cmn-02d4a730.mp3,HSK niveau II
书写,shūxiě,TO TRANSLATE,cmn-02e3d2ed.mp3,HSK niveau IV
荣幸,róngxìng,TO TRANSLATE,cmn-02e9c680.mp3,HSK niveau III
镇静,zhènjìng,TO TRANSLATE,cmn-02eef993.mp3,HSK niveau III
射击,shèjī,TO TRANSLATE,cmn-02ef7429.mp3,HSK niveau III
编,biān,TO TRANSLATE,cmn-02f0c8f2.mp3,HSK niveau II
